"","Mean","SD","Skewness","Kurtosis"
"Pre-event",0.000826412577867906,0.029404201927441,-0.152307093031589,4.75241927494838
"Post-event",-0.00180454866353332,0.0264924709303681,-0.372483403820574,2.90986760277821
